,Title,Location,Categories,Date,Time
115,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",08.10.2024,13:00 Uhr
116,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],08.10.2024,14:00 - 18:00 Uhr
117,Guss und Genuss,Industriemuseum Howaldtsche Metallgießerei,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",08.10.2024,14:30 - 15:30 Uhr
118,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",08.10.2024,15:00 Uhr
119,Bilderbuchkino: Bruno und die Nervkaninchen,Stadtteilbücherei Mettenhof,"['Kinderprogramm', 'Lesungen']",08.10.2024,16:00 - 16:30 Uhr
120,"Live: Jenobi (skandinavisch melancholischer Indiepoprock mit markanten Beats trifft auf eine tolle Stimme. Kreist um The Knife. Und Torpus and the Art Directors, da war sie nämlich dabei) + Support: tba",Kultur- und Kommunikationszentrum Hansa48 e.V.,"['Konzert', 'Kultur']",08.10.2024,20:00 - 22:00 Uhr
121,Karaoke,Pogue Mahone Irish Pub Kiel,"['Kultur', 'Nachtleben', 'Kultursommer']",08.10.2024,22:00 - 02:00 Uhr
122,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",09.10.2024,ganztägig
123,J. F. Kennedy - Sein Leben in Bildern,Rathaus Kiel,"['Ausstellung', 'Kultur']",09.10.2024,08:00 - 18:00 Uhr
124,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],09.10.2024,10:00 - 17:00 Uhr
125,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",09.10.2024,10:00 - 17:00 Uhr
126,Toyota Aygo X Parcours Tour,CITTI-PARK,"['Sport/Freizeit', 'Kultur']",09.10.2024,10:00 - 20:00 Uhr
127,Best of Floristik,Sophienhof,"['Ausstellung', 'Shopping', 'Kultur']",09.10.2024,10:00 - 20:00 Uhr
128,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",09.10.2024,10:00 - 18:00 Uhr
129,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",09.10.2024,10:00 - 18:00 Uhr
130,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",09.10.2024,10:00 - 18:00 Uhr
131,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",09.10.2024,10:00 - 18:00 Uhr
132,Frederick - Mäusegeschichten,Werftparktheater Kiel,"['Theater', 'Kinderprogramm']",09.10.2024,10:30 - 11:45 Uhr
133,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",09.10.2024,11:00 - 18:00 Uhr
134,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",09.10.2024,11:00 - 18:00 Uhr
135,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",09.10.2024,11:00 Uhr
136,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",09.10.2024,12:30 - 13:00 Uhr
137,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",09.10.2024,13:00 Uhr
138,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],09.10.2024,14:00 - 18:00 Uhr
139,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",09.10.2024,15:00 Uhr
140,Kulturcafé,Kulturinitiative Elmschenhagen,"['Gastronomie', 'Kultur', 'Kultursommer', 'Sport/Freizeit']",09.10.2024,15:00 - 17:00 Uhr
141,Darwins Orchideen – Wunder der Evolution,Mediendom,"['Kultur', 'Kultursommer']",09.10.2024,17:00 - 18:00 Uhr
142,LICHTMOND – Days Of Eternity,Mediendom,"['Kultur', 'Kultursommer']",09.10.2024,18:30 - 19:30 Uhr
143,"Ein besonderer Leseabend mit Birte & Martin Stährmann - ""Zu Fuß durch Kiel - 12 Spaziergänge""",Buchhandlung Libelli,"['Kultur', 'Lesungen']",09.10.2024,19:00 - 20:30 Uhr
144,Laboe singt,Förderverein Freya-Frahm-Haus,['Konzert'],09.10.2024,19:30 - 21:00 Uhr
145,Laboe singt,Freya-Frahm-Haus,"['Konzert', 'Kultur']",09.10.2024,19:30 - 21:00 Uhr
146,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",10.10.2024,ganztägig
147,J. F. Kennedy - Sein Leben in Bildern,Rathaus Kiel,"['Ausstellung', 'Kultur']",10.10.2024,08:00 - 18:00 Uhr
148,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",10.10.2024,10:00 - 19:00 Uhr
149,Toyota Aygo X Parcours Tour,CITTI-PARK,"['Sport/Freizeit', 'Kultur']",10.10.2024,10:00 - 20:00 Uhr
150,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",10.10.2024,ganztägig
151,J. F. Kennedy - Sein Leben in Bildern,Rathaus Kiel,"['Ausstellung', 'Kultur']",10.10.2024,08:00 - 18:00 Uhr
152,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",10.10.2024,10:00 - 19:00 Uhr
153,Toyota Aygo X Parcours Tour,CITTI-PARK,"['Sport/Freizeit', 'Kultur']",10.10.2024,10:00 - 20:00 Uhr
154,Best of Floristik,Sophienhof,"['Ausstellung', 'Shopping', 'Kultur']",10.10.2024,10:00 - 20:00 Uhr
155,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",10.10.2024,10:00 - 18:00 Uhr
156,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",10.10.2024,10:00 - 18:00 Uhr
157,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",10.10.2024,10:00 - 18:00 Uhr
158,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],10.10.2024,10:00 - 19:00 Uhr
159,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",10.10.2024,10:00 - 18:00 Uhr
160,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",10.10.2024,11:00 - 18:00 Uhr
161,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",10.10.2024,11:00 - 18:00 Uhr
162,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",10.10.2024,11:00 Uhr
163,Brunchfahrt auf dem Nord-Ostsee-Kanal,Bahnhofskai,"['Führung/Besichtigung', 'Kultur', 'Gastronomie', 'Kultursommer']",10.10.2024,11:00 - 15:15 Uhr
164,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",10.10.2024,13:00 Uhr
165,Sozialpolitisches Hearing 2024: Gewinn durch EX-IN - eine gemeindenahe Psychiatrie braucht qualifizierte Erfahrene,Rathaus Kiel - Ratssaal,['Kongress'],10.10.2024,13:00 - 18:00 Uhr
166,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],10.10.2024,14:00 - 18:00 Uhr
167,Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",10.10.2024,14:00 - 17:00 Uhr
168,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",10.10.2024,15:00 Uhr
169,Spiel mit mir! Straßenpiano in der Holtenauer Straße,Holtenauer Straße,"['Konzert', 'Kultur']",10.10.2024,15:00 - 18:00 Uhr
170,Bilderbuchkino: Egon Schwein spielt ganz allein,Stadtteilbücherei Gaarden,"['Kinderprogramm', 'Lesungen']",10.10.2024,15:30 - 16:30 Uhr
171,Vorlesen für Kinder,Stadtteilbücherei Suchsdorf,"['Kinderprogramm', 'Lesungen']",10.10.2024,15:30 - 16:30 Uhr
172,Vorlesestunde,Stadtteilbücherei Mettenhof,"['Kinderprogramm', 'Lesungen']",10.10.2024,15:30 - 16:00 Uhr
173,Öffentliche Führung durch Beyond Water,Stadtgalerie Kiel,"['Führung/Besichtigung', 'Kultur']",10.10.2024,17:00 - 18:00 Uhr
174,"Wackelpudding, Toast Hawaii und Nudelsalat",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultursommer']",10.10.2024,17:00 - 20:00 Uhr
175,"Vortrag mit Diskussion: ""Das Stadtmuseum Warleberger Hof""",Schifffahrtsmuseum,['Führung/Besichtigung'],10.10.2024,18:00 - 19:30 Uhr
176,Ole Leev (Alte Liebe),Niederdeutsche Bühne,"['Theater', 'Kultur']",10.10.2024,19:00 - 21:00 Uhr
177,Film und Diskussion: Im Rückspiegel,Kino in der Pumpe,['Kultur'],10.10.2024,19:00 - 21:30 Uhr
178,Lesung mit Jess Hansen,Buchhandlung Almut Schmidt,"['Lesungen', 'Kultur']",10.10.2024,19:00 - 20:30 Uhr
179,Der Original Kieler Poetry Slam!,KulturForum in der Stadtgalerie,"['Kultur', 'Lesungen']",10.10.2024,19:30 - 21:30 Uhr
180,OzeanZeit - Politik & Poesie Kabarett von Sunna Huygen,Kultur- und Kommunikationszentrum Hansa48 e.V.,"['Kultur', 'Lesungen']",10.10.2024,20:00 - 22:00 Uhr
181,Amjad - Radikal witzig,Die Pumpe,"['Kultur', 'Lesungen']",10.10.2024,20:00 - 22:30 Uhr
182,Livemusik,Pogue Mahone Irish Pub,"['Konzert', 'Nachtleben', 'Kultursommer']",10.10.2024,22:00 - 02:00 Uhr
183,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",11.10.2024,ganztägig
184,J. F. Kennedy - Sein Leben in Bildern,Rathaus Kiel,"['Ausstellung', 'Kultur']",11.10.2024,08:00 - 18:00 Uhr
185,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",11.10.2024,10:00 - 18:00 Uhr
186,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",11.10.2024,10:00 - 18:00 Uhr
187,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",11.10.2024,10:00 - 17:00 Uhr
188,Best of Floristik,Sophienhof,"['Ausstellung', 'Shopping', 'Kultur']",11.10.2024,10:00 - 20:00 Uhr
189,Toyota Aygo X Parcours Tour,CITTI-PARK,"['Sport/Freizeit', 'Kultur']",11.10.2024,10:00 - 20:00 Uhr
190,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",11.10.2024,10:00 - 18:00 Uhr
191,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],11.10.2024,10:00 - 17:00 Uhr
192,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",11.10.2024,10:00 - 18:00 Uhr
193,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",11.10.2024,11:00 - 18:00 Uhr
194,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",11.10.2024,11:00 - 18:00 Uhr
195,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",11.10.2024,11:00 Uhr
196,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",11.10.2024,13:00 Uhr
197,Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",11.10.2024,14:00 - 17:00 Uhr
198,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],11.10.2024,14:00 - 18:00 Uhr
199,Auf Wasserwegen | Skulpturen und Zeichnungen von Michael Jastram,Galerie Brennwald,['Ausstellung'],11.10.2024,15:00 - 18:00 Uhr
200,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],11.10.2024,14:00 - 18:00 Uhr
201,Auf Wasserwegen | Skulpturen und Zeichnungen von Michael Jastram,Galerie Brennwald,['Ausstellung'],11.10.2024,15:00 - 18:00 Uhr
202,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",11.10.2024,15:00 Uhr
203,Holtenau - Perle des Nord-Ostsee-Kanals,Treffpunkt: Anleger Kanalfähre Holtenau,"['Führung/Besichtigung', 'Kultur', 'Sport/Freizeit']",11.10.2024,16:30 - 18:00 Uhr
204,"Vernissage der Kunstausstellung „Starke Mädchen, starke Zukunft“ am 11. Oktober 2024 in der Stadtbücherei Kiel",Zentralbücherei im Neuen Rathaus,"['Ausstellung', 'Kultur']",11.10.2024,17:00 - 21:00 Uhr
205,SpacePark 360: Infinity,Mediendom,"['Kultur', 'Kultursommer', 'Kinderprogramm']",11.10.2024,17:00 - 18:00 Uhr
206,Autorinnenlesung mit Lena Johannson,Stadtteilbücherei Suchsdorf,"['Kultur', 'Lesungen']",11.10.2024,18:00 - 20:00 Uhr
207,Jam Session,ALTE MU Impuls – Werk e.V.,"['Konzert', 'Kultur', 'Kultursommer']",11.10.2024,18:00 Uhr
208,Ziel: Zukunft – Vom Jetzt bis zur Ewigkeit,Mediendom,"['Kultur', 'Kultursommer']",11.10.2024,18:30 - 19:30 Uhr
209,Ole Leev (Alte Liebe),Niederdeutsche Bühne,"['Theater', 'Kultur']",11.10.2024,19:00 - 21:00 Uhr
210,Plattdeutsche Lesung,Kultur-Diele Elmschenhagen,"['Lesungen', 'Kultur']",11.10.2024,19:00 - 22:00 Uhr
211,"Filmabend: ""Lindenau oder Man hat ja hier seine Schweißtropfen gelassen""",Kulturladen Leuchtturm,['Kultur'],11.10.2024,19:00 - 22:00 Uhr
212,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",11.10.2024,19:30 - 22:00 Uhr
213,Ein Fall für die drei Herren: Die toten Frauen von Westminster (Premiere),KulturForum in der Stadtgalerie,"['Kultur', 'Lesungen', 'Theater']",11.10.2024,20:00 - 22:00 Uhr
214,Hinnerk Köhn - Infinity,Die Pumpe e.V.,"['Kultur', 'Lesungen']",11.10.2024,20:00 - 22:30 Uhr
215,Szenenexpress & Spotlight Milieu,Kultur- und Kommunikationszentrum Hansa48 e.V.,"['Theater', 'Kultur']",11.10.2024,20:00 - 22:30 Uhr
216,Die drei ??? – und die singende Schlange,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",11.10.2024,20:00 - 21:00 Uhr
217,Elvis lebt!,Theater Die Komödianten,"['Kultur', 'Theater']",11.10.2024,20:00 - 21:30 Uhr
218,Tina - The Ultimate Tribute to the Queen of Rock 'n' Roll,Wunderino Arena,"['Konzert', 'Kultur']",11.10.2024,20:00 - 22:00 Uhr
219,Der Besuch der alten Dame,Schauspielhaus Kiel,"['Kultur', 'Theater']",11.10.2024,20:00 - 22:30 Uhr
220,Kieler Swing und Tanz Kultur e.V. präsentiert: Friday Night Hop in der Kino-Bar,Studio Filmtheater,"['Kultur', 'Nachtleben', 'Kultursommer']",11.10.2024,21:00 Uhr
221,Livemusik,Pogue Mahone Irish Pub,"['Konzert', 'Nachtleben', 'Kultursommer']",11.10.2024,22:00 - 02:00 Uhr
222,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",12.10.2024,ganztägig
223,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",12.10.2024,10:00 - 18:00 Uhr
224,Best of Floristik,Sophienhof,"['Ausstellung', 'Shopping', 'Kultur']",12.10.2024,10:00 - 20:00 Uhr
225,Große Nord-Ostsee-Kanalfahrt,Bahnhofskai,"['Kultur', 'Führung/Besichtigung', 'Kultursommer']",12.10.2024,10:00 - 17:30 Uhr
226,Toyota Aygo X Parcours Tour,CITTI-PARK,"['Sport/Freizeit', 'Kultur']",12.10.2024,10:00 - 20:00 Uhr
227,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",12.10.2024,10:00 - 18:00 Uhr
228,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",12.10.2024,10:00 - 18:00 Uhr
229,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",12.10.2024,10:00 - 18:00 Uhr
230,Kleine Krabbler,Zentralbücherei im Neuen Rathaus,"['Kinderprogramm', 'Lesungen']",12.10.2024,10:30 - 11:15 Uhr
231,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],12.10.2024,11:00 - 17:00 Uhr
232,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",12.10.2024,11:00 - 17:00 Uhr
233,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",12.10.2024,11:00 - 18:00 Uhr
234,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",12.10.2024,11:00 Uhr
235,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",12.10.2024,11:00 - 11:30 Uhr
236,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",12.10.2024,11:00 - 18:00 Uhr
237,Rathausturmfahrten,Rathaus Kiel,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",12.10.2024,11:45 - 12:15 Uhr
